,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,5-4,5-5,6-1,6-2,6-3,6-4,6-5,7-1,7-2,7-3,7-4,7-5,8-1,8-2,8-3,8-4,8-5,9-1,9-2,9-3,9-4,9-5
Acetic acid,10399.5061936752,6361.5832622627,8917.873547879599,13277.6779260768,12788.397423758799,10356.96035493,7969.193899551899,10475.7056250845,10085.0849099026,14224.2970108671,13988.3270853552,10141.9660665843,20501.4822858375,15906.494649909198,15512.357083699399,4751.39585352,5319.5164182621,4096.5556828582,3631.5676563899,2467.97943271,4109.9191272716,7367.6176425165,5743.9899427252,4669.6007634055995,4429.45863547,13126.8356716782,15889.7873470164,5008.9544259077,8903.2531278124,4703.2878582476005,6026.5983733679,8248.4492102679,5813.8722777715,4892.3636963994,4193.1428392319,7866.3042707301,2503.2437863643,3309.6576468571,7261.548923595,7009.4909928884,7432.9843005763005,4694.8835725898,4766.9174808227,6004.9182917987,4652.5433978611
Propionic acid,8993.828270683101,4845.6916153489,4959.5348118461,7286.715917083399,3604.5822292187,5087.8758047321,4874.6984982387,4861.022003041599,5785.7927999329,6233.6830638783995,7547.4874383437,6589.730962611,5100.3869565599,9208.3067770548,8076.5559259738,1640.5181795526998,2242.1164512011,1707.8462130895998,1911.6253149527,913.1510225628999,2579.0464978464997,4948.4483457658,3336.6434295934005,3111.8142937084003,2902.2889114496,5458.7646361386,6651.3337656578005,2375.1981173381,3769.6621133406,2529.5720966639,3505.4145132238,5286.4352688564,2926.9336453324,3002.0708352670003,1694.3952885534,4968.9826956962,984.9884563944,2081.260678422,5132.1884893307,4062.9268728476,5137.0529259849,3532.3757227158003,3817.9757430188,6662.8134340597,5319.2244114498
Isobutyric acid,670.8612271462999,433.44978941150003,232.6500443099,327.3767978646,111.0208007237,261.422302811,346.1765999059,289.4639378328,324.9569968689,196.38036289110002,337.7932567876,246.93321435220003,85.3922660183,198.50638470360002,96.10479453159999,427.3037758048,493.17924671040004,289.6141747429,379.7333240623,187.25865930900002,418.994799125,681.0717892486,441.5870911432,492.63894150589994,483.3973582437,413.009267907,490.0287529591,594.6436243535,441.5049877967,569.6481756584,628.3026782254,1154.6126761319001,792.3841467609,620.9369045898001,302.41880106779996,356.7323954573,289.6232905608,372.2201843749,428.1556181035,386.4307026608,367.8187823217,430.73297235089996,458.2374092503,630.3442682805,464.5535199322
Butyric acid,5961.8429481709,3130.8029398846,5214.9101730877,7091.5648264112,9501.7410187635,5946.989604442901,4595.4452937312,6535.4391135598,6548.3462232803,9994.3358351037,8228.53386491,5614.344125510601,13351.2922194273,9787.6289846458,10817.6735344467,1722.0857245712,2499.5799722899,1502.6292681957998,1898.0404536736999,862.0298333688,2672.2053241535,9173.7828943535,4018.1088413896,2202.4653730677,3677.8381563161997,12437.3173313537,11513.217184128702,3103.8771442614,7115.665182020501,3054.6386418787,7599.925480212801,11098.0015974117,5271.9701912798,4006.322486521,3219.4862004969,4253.5693660886,817.652358749,2216.5404750356,4937.548755297,3465.5263263508,4951.9545616788,3089.0284427744,3139.3287599642,6295.844380882099,5350.7879251841
Isovaleric acid,960.3176995357001,715.5317065209,313.8536845422,436.68900819870004,172.70636168299998,355.0322540597,530.0847128589,413.4959305672,462.4444310383,236.3892081761,407.1881002268,412.24375785940003,131.1968783772,242.905807608,132.2584975465,761.8180348277,902.8997533732,528.6985420363,682.4340581514,313.5827868741,716.094131729,1241.7935735044,735.7758015226,834.6762340897,854.4931764403,640.1772288826,673.4487315944,1029.1262130231,612.4759222795,987.2853699748,997.432971521,2073.2079574305,1467.0119666551998,1159.3852545381,504.6720676014,492.2683009535,510.67362848150003,684.0442013203,657.547132167,549.5555714466001,569.5908719657,732.3095542184,789.7602366769,1107.1021991953999,807.2634868585001
Valeric acid,1318.2582750516,792.41084898,604.1576858457,1052.9149882975998,1255.8039746088,697.4668885955999,756.0348933772999,694.2783120641001,743.008244432,818.6772865074,215.8304528414,174.9678855118,118.3042127615,209.5904398862,203.4096603179,628.9135761709999,798.4546682859,567.1730394927,571.8301576754,303.7230627185,550.3800265115,1192.0876899479,665.2448892814,628.1631742406,709.2291329148,1450.7305009982001,1449.6606157099,763.1700220603,929.2320107683,686.8330201808,967.4473153974001,1393.5155147409,818.0492451526,1011.9200731092999,448.7555741003,1118.4184398066,282.06111236830003,645.7119752319,1115.2620500326,898.6047803966001,843.0896700517,556.1343322973,558.6254493888999,1180.8798506682,940.0219730189
