,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,5-4,5-5,6-1,6-2,6-3,6-4,6-5,7-1,7-2,7-3,7-4,7-5,8-1,8-2,8-3,8-4,8-5,9-1,9-2,9-3,9-4,9-5
Acetic acid,2005.0640215587,1767.9370621611,1740.0074603207001,2322.9759854196,2388.7683225547,1904.3623643052,1602.6601966136,2067.9505190396,2146.0711372656,2513.9268515354,2360.5759021132003,1693.408269881,3263.2507519908004,2840.0544747925,2667.4684707536,1395.5905570375,1658.4811058535001,1083.7587333473,1204.271304442,943.4140287424001,1273.7939320175,2144.3604024131,1505.4650478757,1518.2049541104002,1397.7285264263,2638.215856581,2526.7736255720997,1423.3370774035998,2071.4921018945997,1315.4623947691,1649.207835831,2473.7025344362,1992.3113576964001,1681.6091594841,1047.5337238471,1784.3032808226,606.6958496931,1144.6231083600999,1821.0603321025,1485.5855357985001,1552.0546969029,1064.2613172749,1005.8303624462,2033.3341080163,1717.1125414731
Propionic acid,1734.0440157236999,1346.6581266644,967.6777233944999,1274.8363216972,673.3065574897,935.5215106311,980.3356966956,959.5871947931,1231.1966676595,1101.7081003211001,1273.6631664203,1100.2901050067,811.836009679,1644.1141460156,1388.8255774779998,481.85664815449996,699.0311673209,451.8169388969,633.917836445,349.0626678766,799.3280835014,1440.256158899,874.5140765504,1011.7292925775,915.8256882635001,1097.0960390306,1057.6865735775,674.9327821991001,877.0755118938,707.4959195158,959.2736606760001,1585.3972048982,1003.0084711553,1031.8754138660001,423.2949542478,1127.1077015507,238.7256134402,719.7901780884,1287.0566559739,861.0932521966,1072.6495307403,800.7378205746,805.6015110102,2256.1049380682,1963.1642666695002
Isobutyric acid,129.3445751134,120.4593126734,45.39342373149999,57.2757106971,20.7377799677,48.068427183500006,69.6185165854,57.141458714799995,69.1497233849,34.7072243366,57.0037158127,41.2305409569,13.5920111733,35.4426892009,16.5259546256,125.5086153384,153.7599281883,76.6184852539,125.9241156375,71.5818146027,129.8597408233,198.2273574619,115.7373076795,160.16934197959998,152.5374391818,83.0061125743,77.92374445979999,168.9730523413,102.72358676530001,159.32487568530001,171.9380711982,346.26730800309997,271.53605373930003,213.4291829098,75.5504653645,80.9171323259,70.1942213199,128.7298777981,107.37340205219999,81.89979315810001,76.80291597909999,97.64085380610001,96.68912904129999,213.44178858150002,171.4526028124
Butyric acid,1149.4658087545,870.0762567361,1017.5051885808,1240.6939588771002,1774.8477156781,1093.4890928905,924.1759393497,1290.1245215096,1393.4653949027,1766.3459361074,1388.5919762030999,937.4293612972999,2125.1446001635,1747.5502998777,1860.1817199247,505.81484888069997,779.3013181388001,397.5260483349,629.4129338352,329.5209948738,828.2009503362,2670.0485466924,1053.122042272,716.0770288656,1160.5525030751,2499.6372787464998,1830.8170456291,881.9931361888,1655.579596882,854.3517607483,2079.7564193239,3328.2807445210997,1806.6110825451,1377.0580045263,804.2941768945,964.8314524724001,198.1693893527,766.5757969711999,1238.2446597414998,734.4806904778999,1033.999807548,700.2374880605,662.4054637354,2131.8450137605,1974.8134014870002
Isovaleric acid,185.1528748332,198.8522307982,61.2374406993,76.400262515,32.2601395798,65.2807425708,106.60371435809999,81.6259214262,98.4065731629,41.778175567699996,68.7143223888,68.8325107955,20.8827979389,43.3700661921,22.742860436399997,223.7628874468,281.4996822471,139.8691258213,226.30330236580002,119.8706911363,221.9402210854,361.42659624830003,192.8423906222,271.3742904113,269.63780150990004,128.6620598065,107.09095446059999,292.4349817893,142.5028601781,276.1338060204,272.9523639103,621.7532105701999,502.7190938161,398.5053001757,126.0775104892,111.660560564,123.7688365133,236.5721423527,164.9004931973,116.4723385602,118.9342197425,166.003846267,166.6411949227,374.87748430449994,297.93644873790004
Valeric acid,254.1651679611,220.2175858769,117.87999402969999,184.2111434033,234.5739387416,128.2451267044,152.0438636755,137.0536026092,158.1095808683,144.688683857,36.4220941368,29.2144602283,18.8306536023,37.4217123115,34.9778471845,184.7258942752,248.9365342847,150.0476943207,189.6257250478,116.1016961582,170.5801784327,346.95959570120004,174.3566648057,204.2316873416,223.79931102860002,291.5660946085,230.5231737726,216.8612641279,216.2015101111,192.1003002079,264.7466438709,417.9140554445,280.3310297173,347.8183898836,112.1084150142,253.68935942439998,68.3614225533,223.3151966328,279.6868134586,190.44952986040002,176.0425193166,126.0675047467,117.8712324035,399.85944206970004,346.9335761324
