#OTUId,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,5-4,5-5,6-1,6-2,6-3,6-4,6-5,7-1,7-2,7-3,7-4,7-5,8-1,8-2,8-3,8-4,8-5,9-1,9-2,9-3,9-4,9-5
OTU_91,0,0,0,0,0,176,16,145,91,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,59,7,64,70,129,0,7,32,0,95,0,0,0,0,0
OTU_48,0,0,0,0,0,10,44,50,11,32,0,0,0,0,0,724,186,123,250,371,0,0,0,0,0,81,396,33,12,22,107,189,121,93,67,0,188,59,0,48,0,0,0,0,0
OTU_52,0,0,0,0,0,0,0,0,0,0,892,127,270,0,135,0,0,0,0,0,0,0,0,0,0,128,98,78,390,115,40,27,72,42,37,0,0,0,0,0,0,0,0,0,0
OTU_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,1243,890,870,465,0,0,0,0,0,0,0,0,0,0,199,114,469,787,539,2,0,0,0,0,0,0,0,0,0
OTU_86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,60,49,179,187,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,51,88,150,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,109,0,0,0,410,154,511,586,302,2,42,546,0,822,0,0,0,0,0
OTU_440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,252,16,275,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,588,37,1512,502,1681,641,2328,2797,1503,4,0,0,0,0,0,0,0,0,0
