#OTU ID	75F10	72F7	41F5	12F2	84F9	52F5	74F8	94F7	24F9	93F7	53F8	54F4	102F3	105F4	51F4	83F4	21F5	91F7	23F2	92F10	95F10	55F1	104F8	22F2	71F8	85F5	103F5	82F7	73F4	25F1	101F3	31F3	81F8	45F9	44F1	14F8	43F8	42F10	15F4	11F4	32F2	34F3	13F7	35F8	33F5
192963	0.0	2.0	0.0	0.0	0.0	876.0	0.0	0.0	0.0	0.0	1216.0	5262.0	0.0	0.0	491.0	0.0	0.0	1.0	1.0	0.0	0.0	565.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
4477861	0.0	0.0	1.0	0.0	112.0	0.0	0.0	26.0	1860.0	24.0	0.0	2.0	1.0	0.0	0.0	56.0	562.0	15.0	745.0	22.0	53.0	1.0	1.0	414.0	0.0	121.0	0.0	72.0	0.0	514.0	0.0	1.0	87.0	0.0	2.0	0.0	0.0	2.0	1.0	3.0	0.0	3.0	1.0	2.0	0.0
194921	4.0	25.0	3.0	11.0	0.0	1.0	2.0	0.0	7.0	0.0	0.0	0.0	4.0	1.0	2.0	1.0	0.0	0.0	7.0	5.0	1.0	4.0	2.0	29.0	7.0	1.0	4.0	2.0	0.0	6.0	3.0	4.0	1.0	1.0	0.0	8.0	0.0	0.0	31.0	13.0	15.0	3.0	9.0	6.0	73.0
177828	7.0	3.0	0.0	0.0	45.0	0.0	8.0	9.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	40.0	1.0	71.0	14.0	0.0	0.0	0.0	2.0	19.0	0.0	112.0	11.0	0.0	0.0	78.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	41.0	0.0	17.0	7.0
16340	153.0	206.0	0.0	0.0	0.0	0.0	84.0	8.0	254.0	15.0	0.0	1.0	1.0	0.0	0.0	11.0	91.0	24.0	263.0	25.0	3.0	2.0	0.0	53.0	156.0	1.0	0.0	1.0	188.0	91.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0
New.ReferenceOTU19	8.0	8.0	3.0	19.0	0.0	81.0	3.0	0.0	4.0	0.0	44.0	2.0	0.0	0.0	36.0	0.0	2.0	0.0	5.0	0.0	0.0	57.0	0.0	5.0	6.0	0.0	0.0	0.0	16.0	9.0	0.0	4.0	0.0	20.0	12.0	2.0	16.0	25.0	0.0	21.0	17.0	0.0	7.0	27.0	0.0
New.ReferenceOTU12	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	79.0	237.0	0.0	77.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU16	0.0	0.0	42.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	35.0	63.0	0.0	51.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU17	39.0	11.0	48.0	12.0	17.0	49.0	13.0	6.0	40.0	9.0	13.0	2.0	12.0	56.0	25.0	7.0	101.0	2.0	129.0	3.0	6.0	31.0	24.0	55.0	28.0	11.0	28.0	40.0	19.0	121.0	0.0	0.0	7.0	201.0	139.0	4.0	106.0	219.0	1.0	8.0	0.0	2.0	15.0	1.0	1.0
New.ReferenceOTU7	3.0	156.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU21	12.0	11.0	4.0	1.0	0.0	8.0	9.0	0.0	8.0	1.0	8.0	0.0	7.0	5.0	6.0	1.0	32.0	0.0	21.0	1.0	1.0	3.0	5.0	12.0	18.0	1.0	2.0	1.0	16.0	16.0	1.0	2.0	4.0	17.0	13.0	0.0	11.0	21.0	0.0	2.0	1.0	2.0	5.0	9.0	0.0
New.CleanUp.ReferenceOTU446	14.0	7.0	0.0	0.0	0.0	69.0	7.0	1.0	8.0	3.0	59.0	60.0	0.0	0.0	70.0	0.0	1.0	2.0	3.0	24.0	3.0	114.0	0.0	0.0	5.0	0.0	0.0	0.0	16.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
New.CleanUp.ReferenceOTU2546	0.0	0.0	26.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	26.0	46.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	56.0	0.0	39.0	49.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
New.CleanUp.ReferenceOTU3888	16.0	2.0	0.0	11.0	1.0	49.0	2.0	4.0	1.0	22.0	16.0	0.0	61.0	21.0	33.0	2.0	0.0	26.0	0.0	9.0	2.0	8.0	13.0	0.0	2.0	10.0	26.0	3.0	2.0	8.0	12.0	2.0	0.0	6.0	2.0	0.0	1.0	0.0	12.0	17.0	1.0	1.0	8.0	0.0	0.0
New.CleanUp.ReferenceOTU4575	51.0	18.0	3.0	4.0	3.0	16.0	1.0	0.0	1.0	0.0	17.0	1.0	4.0	4.0	11.0	6.0	3.0	0.0	5.0	0.0	0.0	6.0	0.0	5.0	14.0	12.0	5.0	15.0	3.0	1.0	1.0	0.0	2.0	12.0	1.0	1.0	4.0	0.0	5.0	22.0	0.0	0.0	16.0	0.0	0.0
